"Smiley, happy face[3][4][5][6]",:‑):),:-]:],:->:>,8-)8),:-}:},:o),:c),:^),=],=),☺️🙂😊😀😁
"""Flower Girl"", a person with a flower attached to their head[59][60]",(◕‿◕✿),🙂🌸
Crying[59],( ༎ຶ ۝ ༎ຶ ),😭
Cat[61],(=ʘᆽʘ=)∫,🐱
Bear[59],ʕ •ᴥ•ʔ,ʕ ·(エ)· ʔ,ʕ – ㉨ – ʔ,⊂(￣(ｴ)￣)⊃,🐻🧸🐻‍❄️🐼
Troubled[62][63],(>_<)(>_<)>(>w<),😣😖
Baby[62],(';'),👶
"Nervous, embarrassed,[62] troubled, shy,[63] sweat drop[7]",(^^ゞ(^_^;)(-_-;)(~_~;) (・.・;)(・_・;)(・・;) ^^;^_^;(#^.^#)(^^;),😅😳😓😥
"Embarrassed, flushed[59]",(⁄ ⁄•⁄ω⁄•⁄ ⁄),😳
Smoking[62],(^.^)y-.o○(-.-)y-°°°,🚬
Sleeping[62],(-_-)zzz,😴💤
Wink[62],(^_-)(^_-)-☆,😉😜
Confused[62],((+_+))(+o+)(°°)(°-°) (°.°)(°_°)(°_°>)(°レ°),😕😶😵🙄
Ultraman[62],(o|o),
—[62],<(｀^´)>,
Joyful[62][63][64],^_^(°o°)(^_^)/(^O^)／(^o^)／(^^)/ (≧∇≦)/(/◕ヮ◕)/(^o^)丿∩(·ω·)∩(·ω·)^ω^,😀😅😆😃😄🙌
"Kowtow as a sign of respect, or dogeza for apology[62][63]",(__)_(._.)__(_^_)_<(_ _)> <m(__)m>m(__)mm(_ _)m,🙇
Middle fingers[59],(凸ಠ益ಠ)凸,🖕
Questioning[62],＼(°ロ＼)(／ロ°)／,🤔
"Sad, crying[13][62][63][59]",('_')(/_;)(T_T) (;_;)(;_;(;_:)(;O;)(:_;)(ToT)(Ｔ▽Ｔ) ;_;;-;;n;;;Q.QT.TTnTQQQ_Q,😭😢
Shame[62],(ー_ー)!!(-.-)(-_-)(一一)(；一_一),😒😩😑😞😔
Tired[62],(=_=),😫😩😪
Cat[62][64],(=^・^=)(=^・・^=)=^_^=,😺😸😹😻😼😽🙀😿😾🐱
Looking down[62] in sadness or boredom,(..)(._.),🙍😔
Giggling with hand covering mouth[62],^m^,🤭
Confusion[62],(・・?(?_?),😕😵
Facepalm[65],(－‸ლ),🤦
Normal laugh[62],>^_^<<^!^>^/^（*^_^*）§^.^§(^<^) (^.^)(^ム^)(^·^)(^.^)(^_^.)(^_^)(^^) (^J^)(*^.^*)^_^(#^.^#)（^—^）,😃😄☺️😁😀😍
Waving[62],(^^)/~~~(^_^)/~(;_;)/~~~(^.^)/~~~(-_-)/~~~ ($··)/~~~(@^^)/~~~(T_T)/~~~(ToT)/~~~,👋
Alien Baltan[62],(V)o￥o(V),👽👾
Excited[62],＼(~o~)／＼(^o^)／＼(-o-)／ ヽ(^。^)ノヽ(^o^)丿(*^0^*),😍😀🙌💃
Amazed[62],(*_*)(*_*;(+_+) (@_@)(@_@。(＠_＠;)＼(◎o◎)／！,😍
—[62],!(^^)!,
"Laughing, cheerful[62][63]",(*^^)v(^^)v(^_^)v（’-’*) (＾ｖ＾)(＾▽＾)(・∀・)(´∀`)(⌒▽⌒）,😂✌️
Hopeless[66][67],＼(^o^)／\(^o^)/,
—[62],(~o~)(~_~),😔😒😏
—[62],(^^ゞ,😙😚
Calmness[68],ˊ＿>ˋ,
—[62],(p_-)(-_q),🧐
"Headphones, listening to music[62]",((d[-_-]b)),🎧
Worried[62][63],"(-""-)(ーー゛)(^_^メ)(-_-メ)(~_~メ)(－－〆) (・へ・)(｀´)<`～´><`ヘ´>(ーー;)",😟😓😬
Eyeglasses[62],(^0_0^),🤓😎
Jotting note[62],( ..)φφ(..),✍️📝
Happy[62][63],(●＾o＾●)(＾ｖ＾)(＾ｕ＾)(＾◇＾) ( ^)o(^ )(^O^)(^o^)(^○^))^o^( (*^▽^*)(✿◠‿◠),😀😁😆😅😃😄
Grinning[63],(￣ー￣),😁
Surprised[2][63],(￣□￣;)°o°°O°:O o_Oo_0o.O(o.o)oO,😲😮😯
Infatuation[63],(*´▽｀*)(*°∀°)=3,
"Dancing, swinging arms back and forth, ""Happy Gary""[69]",ᕕ( ᐛ )ᕗ,💃🕺
"Shocked, surprised[63]",（ ﾟ Дﾟ)(°◇°),😨😱😮😲
Dissatisfied[63],(*￣m￣),😬😠😡
"Mellow, shrug[63][31]",ヽ(´ー｀)┌¯\_(ツ)_/¯¯\(°_o)/¯,🤷
Snubbed or deflated[63],(´･ω･`)(‘A`),
Hugging/reaching and kissing[59],(づ￣ ³￣)づ,🫂😙
Blowing a kiss[70],(*^3^)/~☆,😘😚😙😗
Studying is good[70],.....φ(・∀・＊),
Sleeping[71],(-_-) zzz(︶｡︶✽),😴💤
Joy[72] or Cute[73],uwuUwU,😌
"Associated with the response, ""what's this?"".[73] Could also be used to denote cute, inquisitive or perplexed, sometimes associated with the furry fandom.[74]",OWOOwO,
"Distress.[75] Jiong, a Chinese character meaning a ""patterned window"", now repurposed as an ideographic emoticon.",囧,
Bubbles[62],.o○○o.,🫧
